Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,95,78,17,26,0,52,53,78,78,0,game46
solved,4328,1308,4228,313,0,995,1543,100,100,5,game460
solved,199,114,111,32,0,82,97,88,88,0,game461
solved,1486,301,1383,74,0,227,389,103,103,1,game462
solved,239,119,152,34,0,85,97,87,87,0,game463
solved,1050,225,947,36,0,189,193,103,103,1,game464
solved,45421,16172,45330,1416,0,14756,24593,91,91,82,game465
solved,174,95,82,42,0,53,53,92,92,0,game466
solved,91,69,22,26,0,43,53,69,69,0,game467
solved,512,153,431,33,0,120,193,81,81,1,game468
solved,854,234,781,99,0,135,193,73,73,0,game469
solved,3251,1226,3163,79,0,1147,1543,88,88,5,game47
solved,152,84,68,31,0,53,53,84,84,0,game470
unsolvable,160944,64396,160943,16181,0,48215,49157,22,0,336,game471
solved,367395,114219,367297,42449,0,71770,98317,98,98,525,game472
solved,114,74,40,25,0,49,53,74,74,0,game473
solved,91,71,20,31,0,40,53,71,71,0,game474
unsolvable,42395690,13390490,42395689,5948082,0,7442408,12582917,72,0,59206,game475
solved,6947,2065,6864,726,0,1339,1543,83,83,9,game476
unsolvable,5080349,1858737,5080348,878602,0,980135,1572869,41,0,7634,game477
solved,224,86,138,32,0,54,97,86,86,0,game478
solved,568893,181436,568808,49552,0,131884,196613,85,85,875,game479
solved,314,109,225,29,0,80,97,89,89,0,game48
solved,709,292,626,49,0,243,389,83,83,1,game480
solved,1520,323,1435,53,0,270,389,85,85,2,game481
solved,185709,35702,185621,1243,0,34459,49157,88,88,264,game482
solved,1693,289,1606,81,0,208,389,87,87,2,game483
solved,484830,63526,484748,7859,0,55667,98317,82,82,514,game484
solved,349,178,267,72,0,106,193,82,82,0,game485
solved,91,69,22,22,0,47,53,69,69,0,game486
solved,440,179,352,49,0,130,193,88,88,0,game487
solved,16131007,3113622,16130918,806900,0,2306722,3145739,106,89,20835,game488
solved,127,87,41,34,0,53,53,86,86,0,game489
solved,180,83,97,26,0,57,97,83,83,0,game49
solved,87029,25592,86943,4850,0,20742,24593,86,86,142,game490
unsolvable,12736704,4328489,12736703,1855420,0,2473069,3145739,61,0,15391,game491
timed-out,44288094,15862472,44288046,7674500,0,8187972,12582917,172,48,60000,game492
solved,2102,1132,2022,558,0,574,769,80,80,2,game493
solved,574,187,499,46,0,141,193,75,75,0,game494
